exception_id,exception_type,domain,severity,break_amount,price_movement_pct,age_days,refresh_delay_hours,anomaly_score,anomaly_flag,reason_code,severity_recommendation
E0,Price Outlier,Pricing,Medium,1000,1.0,0,2,0.4752,True,Multi-factor isolation signal,Medium
E1,Price Outlier,Pricing,Medium,1200,1.0,1,2,0.317,True,Multi-factor isolation signal,Medium
E2,Price Outlier,Pricing,Medium,1400,1.0,2,2,0.2673,True,Multi-factor isolation signal,Medium
E3,Price Outlier,Pricing,Medium,1600,1.0,3,2,0.2444,False,Multi-factor isolation signal,Medium
E4,Price Outlier,Pricing,Medium,1800,1.0,4,2,0.1932,False,Multi-factor isolation signal,Medium
E5,Price Outlier,Pricing,Medium,2000,1.0,5,2,0.1465,False,Multi-factor isolation signal,Medium
E6,Price Outlier,Pricing,Medium,2200,1.0,6,2,0.13,False,Multi-factor isolation signal,Medium
E7,Price Outlier,Pricing,Medium,2400,1.0,7,2,0.1087,False,Multi-factor isolation signal,Medium
E8,Price Outlier,Pricing,Medium,2600,1.0,8,2,0.0904,False,Multi-factor isolation signal,Medium
E9,Price Outlier,Pricing,Medium,2800,1.0,9,2,0.0749,False,Multi-factor isolation signal,Medium
E10,Price Outlier,Pricing,Medium,3000,1.0,10,2,0.0514,False,Multi-factor isolation signal,Medium
E11,Price Outlier,Pricing,Medium,3200,1.0,11,2,0.0243,False,Multi-factor isolation signal,Medium
E12,Price Outlier,Pricing,Medium,3400,1.0,12,2,0.0,False,Multi-factor isolation signal,Medium
E13,Price Outlier,Pricing,Medium,3600,1.0,13,2,0.0171,False,Aging unresolved item,Medium
E14,Price Outlier,Pricing,Medium,3800,1.0,14,2,0.0161,False,Aging unresolved item,Medium
E15,Price Outlier,Pricing,Medium,4000,1.0,15,2,0.0247,False,Aging unresolved item,Medium
E16,Price Outlier,Pricing,Medium,4200,1.0,16,2,0.0373,False,Aging unresolved item,Medium
E17,Price Outlier,Pricing,Medium,4400,1.0,17,2,0.0288,False,Aging unresolved item,Medium
E18,Price Outlier,Pricing,Medium,4600,1.0,18,2,0.0433,False,Aging unresolved item,Medium
E19,Price Outlier,Pricing,Medium,4800,1.0,19,2,0.0219,False,Aging unresolved item,Medium
E20,Price Outlier,Pricing,Medium,5000,1.0,20,2,0.0377,False,Aging unresolved item,Medium
E21,Price Outlier,Pricing,Medium,5200,1.0,21,2,0.0167,False,Aging unresolved item,Medium
E22,Price Outlier,Pricing,Medium,5400,1.0,22,2,0.0254,False,Aging unresolved item,Medium
E23,Price Outlier,Pricing,Medium,5600,1.0,23,2,0.0361,False,Aging unresolved item,Medium
E24,Price Outlier,Pricing,Medium,5800,1.0,24,2,0.0164,False,Aging unresolved item,Medium
E25,Price Outlier,Pricing,Medium,6000,1.0,25,2,0.0281,False,Aging unresolved item,Medium
E26,Price Outlier,Pricing,Medium,6200,1.0,26,2,0.042,False,Aging unresolved item,Medium
E27,Price Outlier,Pricing,Medium,6400,1.0,27,2,0.0538,False,Aging unresolved item,Medium
E28,Price Outlier,Pricing,Medium,6600,1.0,28,2,0.0711,False,Aging unresolved item,Medium
E29,Price Outlier,Pricing,Medium,6800,1.0,29,2,0.0985,False,Aging unresolved item,Medium
E30,Price Outlier,Pricing,Medium,7000,1.0,30,2,0.099,False,Aging unresolved item,Medium
E31,Price Outlier,Pricing,Medium,7200,1.0,31,2,0.1075,False,Aging unresolved item,Medium
E32,Price Outlier,Pricing,Medium,7400,1.0,32,2,0.1216,False,Aging unresolved item,Medium
E33,Price Outlier,Pricing,Medium,7600,1.0,33,2,0.1329,False,Aging unresolved item,Medium
E34,Price Outlier,Pricing,Medium,7800,1.0,34,2,0.1585,False,Aging unresolved item,Medium
E35,Price Outlier,Pricing,Medium,8000,1.0,35,2,0.1731,False,Aging unresolved item,Medium
E36,Price Outlier,Pricing,Medium,8200,1.0,36,2,0.2119,False,High-value reconciliation break,Medium
E37,Price Outlier,Pricing,Medium,8400,1.0,37,2,0.2518,False,High-value reconciliation break,Medium
E38,Price Outlier,Pricing,Medium,8600,1.0,38,2,0.3872,True,High-value reconciliation break,Medium
E39,Price Outlier,Pricing,Medium,8800,35.0,39,90,1.0,True,Large price/return move,Critical
