class,precision,recall,f1-score,support
Delayed Source Load,1.0,1.0,1.0,25.0
Duplicate Record,1.0,1.0,1.0,34.0
Invalid Currency,1.0,1.0,1.0,24.0
Missing Client Mapping,1.0,1.0,1.0,29.0
Missing Reference Data,1.0,0.6923076923076923,0.8181818181818182,39.0
Performance Return Outlier,0.9333333333333333,0.875,0.9032258064516129,16.0
Position Reconciliation Break,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
Price Outlier,1.0,1.0,1.0,30.0
Stale Price,1.0,1.0,1.0,38.0
Trade Match Break,1.0,1.0,1.0,50.0
Unknown / Needs SME Review,0.6470588235294118,1.0,0.7857142857142857,22.0
accuracy,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572
macro avg,0.9577216010371089,0.958550170759473,0.9520581047024571,350.0
weighted avg,0.9691830914183857,0.9571428571428572,0.9576104556495467,350.0
