query_security_id,query_name,matched_security_id,candidate_name,fuzzy_name_score,match_confidence,exact_ticker_match,currency_match,review_needed
SEC00271,Northstar Equity 2035,SEC00163,Northstar Equity 2035,100.0,72.0,False,False,True
SEC00047,Atlas Corporate Bd 2039,SEC00047,Atlas Corporate Bond 2039,95.83,97.0,False,True,False
SEC00301,Riverstone Equity 2029,SEC00025,Riverstone Equity 2029,100.0,77.0,False,False,True
SEC00218,Zenith Derivative 2030,SEC00218,Zenith Derivative 2030,100.0,100.0,False,True,False
SEC00284,Zenith Government Bd 2036,SEC00056,Zenith Government Bond 2036,96.15,69.23,False,False,True
SEC00018,Atlas Derivative 2034,SEC00018,Atlas Derivative 2034,100.0,100.0,False,True,False
SEC00133,Blue Harbor Corporate Bd 2029,SEC00133,Blue Harbor Corporate Bond 2029,96.67,97.6,False,True,False
SEC00172,Atlas Corporate Bd 2032,SEC00076,Atlas Corporate Bond 2032,95.83,69.0,False,False,True
SEC00045,Blue Harbor Derivative 2037,SEC00045,Blue Harbor Derivative 2037,100.0,100.0,False,True,False
SEC00302,Riverstone Government Bd 2030,SEC00302,Riverstone Government Bond 2030,96.67,97.6,False,True,False
SEC00014,Zenith Government Bd 2030,SEC00014,Zenith Government Bond 2030,96.15,100.0,True,True,False
SEC00013,Blue Harbor Derivative 2029,SEC00013,Blue Harbor Derivative 2029,100.0,100.0,True,True,False
SEC00006,Riverstone ETF 2034,SEC00006,Riverstone ETF 2034,100.0,100.0,True,True,False
SEC00112,Riverstone Corporate Bd 2032,SEC00112,Riverstone Corporate Bond 2032,96.55,100.0,True,True,False
SEC00195,Riverstone Equity 2031,SEC00051,Riverstone Equity 2031,100.0,72.0,False,False,True
SEC00088,Riverstone Equity 2032,SEC00088,Riverstone Equity 2032,100.0,100.0,True,True,False
SEC00200,Atlas ETF 2036,SEC00080,Atlas ETF 2036,100.0,72.0,False,False,True
SEC00314,Zenith Corporate Bd 2030,SEC00170,Zenith Corporate Bond 2030,96.0,69.12,False,False,True
SEC00160,Northstar Equity 2032,SEC00004,Northstar Equity 2032,100.0,72.0,False,False,True
SEC00089,Atlas Government Bd 2033,SEC00089,Atlas Government Bond 2033,96.0,100.0,True,True,False
