position_id,as_of_date,client_id,portfolio,security_id,quantity,market_value,source_system,base_currency
POS0000000,2026-05-15,CL201,PORT-030,SEC00005,38509.0,51008.73,Custodian,GBP
POS0000001,2026-05-16,CL881,PORT-038,SEC00019,36991.0,102395.96,IBOR,USD
POS0000002,2026-05-17,CL662,PORT-079,SEC00262,4872.0,152190.98,ABOR,JPY
POS0000003,2026-05-14,CL136,PORT-001,SEC00306,37997.0,105924.74,ABOR,INR
POS0000004,2026-05-14,CL197,PORT-041,SEC00129,74307.0,114567.38,Custodian,USD
POS0000005,2026-05-18,CL268,PORT-026,SEC00162,67619.0,755578.42,IBOR,INR
POS0000006,2026-05-14,CL963,PORT-044,SEC00174,61554.0,139945.48,Custodian,EUR
POS0000007,2026-05-17,CL629,PORT-001,SEC00044,52896.0,192311.55,ABOR,GBP
POS0000008,2026-05-15,CL350,PORT-073,SEC00071,81876.0,188249.18,ABOR,JPY
POS0000009,2026-05-16,CL348,PORT-037,SEC00095,26676.0,231810.54,Custodian,INR
POS0000010,2026-05-15,CL123,PORT-077,SEC00269,28774.0,122226.4,Custodian,EUR
POS0000011,2026-05-14,CL282,PORT-013,SEC00140,74734.0,343928.39,Custodian,GBP
POS0000012,2026-05-17,CL868,PORT-047,SEC00230,50607.0,212381.04,Custodian,INR
POS0000013,2026-05-15,CL638,PORT-054,SEC00062,35234.0,75184.58,Custodian,EUR
POS0000014,2026-05-16,CL430,PORT-063,SEC00305,62142.0,152588.13,ABOR,JPY
POS0000015,2026-05-15,CL119,PORT-001,SEC00282,40354.0,146783.06,IBOR,GBP
POS0000016,2026-05-18,CL408,PORT-051,SEC00152,31574.0,142785.78,ABOR,USD
POS0000017,2026-05-15,CL444,PORT-012,SEC00072,30962.0,220924.9,IBOR,JPY
POS0000018,2026-05-16,CL206,PORT-034,SEC00312,57074.0,238192.66,ABOR,GBP
POS0000019,2026-05-17,CL645,PORT-005,SEC00258,54528.0,221902.16,ABOR,EUR
POS0000020,2026-05-17,CL693,PORT-005,SEC00163,83368.0,199456.05,Custodian,CAD
POS0000021,2026-05-15,CL997,PORT-061,SEC00085,43618.0,171336.14,Custodian,INR
POS0000022,2026-05-17,CL422,PORT-057,SEC00198,43243.0,44769.21,IBOR,EUR
POS0000023,2026-05-19,CL348,PORT-071,SEC00118,81672.0,259558.03,IBOR,JPY
POS0000024,2026-05-14,CL839,PORT-056,SEC00215,71684.0,218166.2,ABOR,INR
POS0000025,2026-05-17,CL415,PORT-048,SEC00266,53188.0,90142.16,Custodian,USD
POS0000026,2026-05-19,CL666,PORT-010,SEC00156,15658.0,192595.88,Custodian,USD
POS0000027,2026-05-18,CL763,PORT-061,SEC00015,32139.0,240088.55,IBOR,JPY
POS0000028,2026-05-15,CL891,PORT-019,SEC00180,26810.0,328649.87,Custodian,CAD
POS0000029,2026-05-18,CL386,PORT-009,SEC00274,50802.0,221058.11,ABOR,CAD
POS0000030,2026-05-18,CL659,PORT-058,SEC00071,38816.0,197394.8,Custodian,GBP
POS0000031,2026-05-17,CL217,PORT-047,SEC00307,85264.0,287237.13,ABOR,INR
POS0000032,2026-05-19,CL800,PORT-012,SEC00115,15428.0,135411.83,IBOR,GBP
POS0000033,2026-05-16,CL140,PORT-044,SEC00218,24451.0,208397.36,ABOR,CAD
POS0000034,2026-05-19,CL726,PORT-055,SEC00224,55382.0,112120.79,Custodian,JPY
POS0000035,2026-05-14,CL287,PORT-040,SEC00058,61472.0,316848.18,ABOR,CAD
POS0000036,2026-05-17,CL515,PORT-057,SEC00012,-6917.0,61955.6,ABOR,GBP
POS0000037,2026-05-18,CL168,PORT-040,SEC00303,11821.0,265678.53,IBOR,CAD
POS0000038,2026-05-17,CL719,PORT-028,SEC00224,44201.0,164493.34,Custodian,INR
POS0000039,2026-05-18,CL533,PORT-018,SEC00202,79833.0,290463.27,Custodian,INR
POS0000040,2026-05-18,CL696,PORT-021,SEC00097,91531.0,101892.48,Custodian,USD
POS0000041,2026-05-19,CL412,PORT-064,SEC00034,40881.0,171783.48,IBOR,INR
POS0000042,2026-05-15,CL106,PORT-030,SEC00086,46246.0,168784.5,ABOR,USD
POS0000043,2026-05-14,CL622,PORT-057,SEC00175,31589.0,211151.28,IBOR,CAD
POS0000044,2026-05-17,CL728,PORT-029,SEC00221,63931.0,86808.76,ABOR,EUR
POS0000045,2026-05-19,CL697,PORT-042,SEC00102,83628.0,238405.68,ABOR,INR
POS0000046,2026-05-19,CL335,PORT-048,SEC00068,77632.0,53769.6,ABOR,JPY
POS0000047,2026-05-15,CL744,PORT-038,SEC00079,49362.0,109020.89,ABOR,GBP
POS0000048,2026-05-17,CL587,PORT-059,SEC00307,31552.0,63726.9,ABOR,CAD
POS0000049,2026-05-18,CL288,PORT-074,SEC00201,50180.0,267515.19,ABOR,GBP
POS0000050,2026-05-19,CL200,PORT-069,SEC00317,80377.0,206918.13,Custodian,USD
POS0000051,2026-05-16,CL392,PORT-073,SEC00002,41189.0,213976.87,IBOR,USD
POS0000052,2026-05-19,CL120,PORT-003,SEC00146,10061.0,393924.14,IBOR,CAD
POS0000053,2026-05-14,CL743,PORT-060,SEC00146,42080.0,134650.12,ABOR,GBP
POS0000054,2026-05-18,CL113,PORT-058,SEC00128,43861.0,234626.79,Custodian,INR
POS0000055,2026-05-19,CL143,PORT-033,SEC00125,9931.0,169331.47,ABOR,USD
POS0000056,2026-05-15,CL242,PORT-025,SEC00025,55105.0,154547.89,IBOR,USD
POS0000057,2026-05-17,CL393,PORT-005,SEC00010,61132.0,356459.35,ABOR,CAD
POS0000058,2026-05-15,CL117,PORT-067,SEC00249,90918.0,567574.68,ABOR,USD
POS0000059,2026-05-19,CL666,PORT-067,SEC00140,20688.0,125632.97,IBOR,INR
