security_id,isin,ticker,security_name,asset_class,currency,exchange,issuer,region
SEC00000,US1000000000,AA0,Apex Capital ETF 2028,ETF,JPY,LSE,Northstar,Americas
SEC00001,US1000000001,BA1,Zenith Government Bond 2029,Corporate Bond,INR,XETRA,Zenith,Americas
SEC00002,US1000000002,CA2,Blue Harbor Derivative 2030,Equity,USD,TSE,Blue Harbor,EMEA
SEC00003,US1000000003,DB3,Apex Capital ETF 2031,Corporate Bond,USD,LSE,Apex Capital,EMEA
SEC00004,US1000000004,EB4,Northstar Equity 2032,ETF,GBP,LSE,Riverstone,APAC
SEC00005,US1000000005,FB5,Zenith Derivative 2033,Government Bond,INR,NYSE,Riverstone,APAC
SEC00006,US1000000006,GC6,Riverstone ETF 2034,ETF,USD,LSE,Zenith,Americas
SEC00007,US1000000007,HC7,Riverstone ETF 2035,Corporate Bond,EUR,NYSE,Northstar,Americas
SEC00008,US1000000008,IC8,Zenith Equity 2036,Government Bond,GBP,NASDAQ,Apex Capital,EMEA
SEC00009,US1000000009,JD9,Atlas Government Bond 2037,Equity,USD,NSE,Blue Harbor,EMEA
SEC00010,US1000000010,KD10,Zenith Corporate Bond 2038,Government Bond,USD,NYSE,Zenith,EMEA
SEC00011,US1000000011,LD11,Northstar Derivative 2039,Equity,INR,LSE,Zenith,EMEA
SEC00012,US1000000012,ME12,Riverstone ETF 2028,Government Bond,GBP,NSE,Northstar,EMEA
SEC00013,US1000000013,NE13,Blue Harbor Derivative 2029,ETF,USD,NSE,Zenith,Americas
SEC00014,US1000000014,OE14,Zenith Government Bond 2030,Equity,INR,NYSE,Northstar,Americas
SEC00015,US1000000015,PF15,Blue Harbor Corporate Bond 2031,Government Bond,USD,NYSE,Riverstone,Americas
SEC00016,US1000000016,QF16,Apex Capital Government Bond 2032,Equity,INR,LSE,Riverstone,Americas
SEC00017,US1000000017,RF17,Atlas Equity 2033,Government Bond,USD,XETRA,Zenith,Americas
SEC00018,US1000000018,SG18,Atlas Derivative 2034,Equity,GBP,NSE,Apex Capital,APAC
SEC00019,US1000000019,TG19,Northstar ETF 2035,Derivative,USD,NASDAQ,Atlas,Americas
SEC00020,US1000000020,UG20,Apex Capital ETF 2036,Equity,USD,NYSE,Apex Capital,Americas
SEC00021,US1000000021,VH21,Riverstone Corporate Bond 2037,Derivative,INR,NASDAQ,Atlas,EMEA
SEC00022,US1000000022,WH22,Apex Capital Derivative 2038,ETF,USD,NSE,Apex Capital,APAC
SEC00023,US1000000023,XH23,Blue Harbor Derivative 2039,Corporate Bond,USD,NYSE,Zenith,Americas
SEC00024,US1000000024,YI24,Riverstone ETF 2028,ETF,USD,LSE,Apex Capital,APAC
SEC00025,US1000000025,ZI25,Riverstone Equity 2029,ETF,JPY,NYSE,Apex Capital,APAC
SEC00026,US1000000026,AI26,Blue Harbor Government Bond 2030,Derivative,INR,NYSE,Riverstone,EMEA
SEC00027,US1000000027,BJ27,Blue Harbor Equity 2031,Equity,CAD,NSE,Riverstone,EMEA
SEC00028,US1000000028,CJ28,Zenith Equity 2032,Corporate Bond,USD,NYSE,Apex Capital,Americas
SEC00029,US1000000029,DJ29,Riverstone ETF 2033,Equity,USD,NASDAQ,Atlas,APAC
SEC00030,US1000000030,EK30,Atlas ETF 2034,Government Bond,USD,NSE,Northstar,Americas
SEC00031,US1000000031,FK31,Blue Harbor Derivative 2035,Equity,EUR,XETRA,Northstar,APAC
SEC00032,US1000000032,GK32,Blue Harbor Corporate Bond 2036,Corporate Bond,CAD,NYSE,Northstar,EMEA
SEC00033,US1000000033,HL33,Atlas Corporate Bond 2037,Corporate Bond,GBP,LSE,Blue Harbor,Americas
SEC00034,US1000000034,IL34,Apex Capital Government Bond 2038,Corporate Bond,GBP,NSE,Northstar,Americas
SEC00035,US1000000035,JL35,Riverstone Equity 2039,Corporate Bond,USD,LSE,Blue Harbor,EMEA
SEC00036,US1000000036,KM36,Blue Harbor Equity 2028,Government Bond,INR,XETRA,Northstar,EMEA
SEC00037,US1000000037,LM37,Riverstone Government Bond 2029,ETF,EUR,XETRA,Apex Capital,Americas
SEC00038,US1000000038,MM38,Northstar Corporate Bond 2030,Corporate Bond,USD,XETRA,Blue Harbor,APAC
SEC00039,US1000000039,NN39,Zenith ETF 2031,Corporate Bond,USD,NASDAQ,Riverstone,APAC
SEC00040,US1000000040,ON40,Atlas Government Bond 2032,Derivative,USD,NSE,Riverstone,EMEA
SEC00041,US1000000041,PN41,Apex Capital Derivative 2033,Equity,USD,NSE,Blue Harbor,EMEA
SEC00042,US1000000042,QO42,Zenith ETF 2034,Equity,USD,NYSE,Northstar,Americas
SEC00043,,RO43,Apex Capital Corporate Bond 2035,Equity,EUR,TSE,Riverstone,APAC
SEC00044,US1000000044,SO44,Riverstone Derivative 2036,Government Bond,GBP,TSE,Riverstone,Americas
SEC00045,US1000000045,TP45,Blue Harbor Derivative 2037,Corporate Bond,USD,TSE,Riverstone,APAC
SEC00046,US1000000046,UP46,Atlas Corporate Bond 2038,Government Bond,EUR,LSE,Atlas,Americas
SEC00047,US1000000047,VP47,Atlas Corporate Bond 2039,Government Bond,CAD,LSE,Riverstone,EMEA
SEC00048,US1000000048,WQ48,Northstar ETF 2028,Equity,JPY,NSE,Atlas,Americas
SEC00049,US1000000049,XQ49,Zenith Equity 2029,ETF,EUR,NYSE,Blue Harbor,Americas
SEC00050,US1000000050,YQ50,Riverstone Equity 2030,Government Bond,USD,TSE,Blue Harbor,APAC
SEC00051,US1000000051,ZR51,Riverstone Equity 2031,Equity,INR,NSE,Northstar,EMEA
SEC00052,US1000000052,AR52,Riverstone ETF 2032,Equity,USD,TSE,Northstar,EMEA
SEC00053,US1000000053,BR53,Riverstone ETF 2033,Equity,USD,LSE,Riverstone,APAC
SEC00054,US1000000054,CS54,Blue Harbor ETF 2034,Equity,INR,XETRA,Riverstone,APAC
SEC00055,US1000000055,DS55,Northstar ETF 2035,Equity,EUR,NYSE,Riverstone,APAC
SEC00056,US1000000056,ES56,Zenith Government Bond 2036,Derivative,JPY,NSE,Northstar,Americas
SEC00057,US1000000057,FT57,Zenith Government Bond 2037,Corporate Bond,GBP,LSE,Blue Harbor,EMEA
SEC00058,US1000000058,GT58,Apex Capital Equity 2038,Corporate Bond,GBP,NYSE,Northstar,APAC
SEC00059,US1000000059,HT59,Northstar Equity 2039,Government Bond,USD,TSE,Atlas,Americas
SEC00060,US1000000060,IU60,Blue Harbor ETF 2028,Corporate Bond,USD,XETRA,Northstar,Americas
