trade_id,trade_date,settlement_date,security_id,client_id,portfolio,quantity,trade_price,trade_currency,status,source_system
TRD0000000,2026-05-13,2026-05-19,SEC00121,CL946,PORT-050,13892.0,64.32,JPY,Matched,SimCorp
TRD0000001,2026-05-18,2026-04-19,SEC00236,CL883,PORT-043,16556.0,46.84,INR,Booked,Murex
TRD0000002,2026-04-11,2026-05-02,SEC00267,CL391,PORT-010,17318.0,34.88,USD,Booked,Bloomberg AIM
TRD0000003,2026-04-06,2026-05-08,SEC00269,CL158,PORT-057,11770.0,80.02,GBP,Booked,Bloomberg AIM
TRD0000004,2026-05-09,2026-05-04,SEC00068,CL832,PORT-005,2827.0,93.45,JPY,Booked,Bloomberg AIM
TRD0000005,2026-05-05,2026-04-07,SEC00216,CL435,PORT-079,13793.0,35.61,USD,Matched,SimCorp
TRD0000006,2026-04-27,2026-05-02,UNKNOWN,CL773,PORT-013,20699.0,75.88,GBP,Booked,Aladdin
TRD0000007,2026-04-26,2026-05-18,SEC00183,CL207,PORT-036,19022.0,97.43,INR,Matched,Aladdin
TRD0000008,2026-04-05,2026-05-09,SEC00182,CL700,PORT-066,26997.0,82.15,USD,Matched,SimCorp
TRD0000009,2026-05-01,2026-05-15,SEC00116,CL627,PORT-041,32666.0,57.64,GBP,Booked,Murex
TRD0000010,2026-05-19,2026-04-21,SEC00318,CL927,PORT-059,23695.0,47.93,USD,Booked,Bloomberg AIM
TRD0000011,2026-04-30,2026-04-15,SEC00282,CL191,PORT-056,28369.0,68.6,JPY,Matched,Bloomberg AIM
TRD0000012,2026-04-24,2026-04-14,SEC00012,CL466,PORT-075,23751.0,72.73,USD,Matched,SimCorp
TRD0000013,2026-04-26,2026-04-23,SEC00066,CL989,PORT-037,30824.0,68.96,EUR,Booked,SimCorp
TRD0000014,2026-04-26,2026-04-17,SEC00066,CL450,PORT-078,31881.0,62.61,JPY,Booked,SimCorp
TRD0000015,2026-04-08,2026-05-03,SEC00287,CL691,PORT-041,25134.0,45.65,EUR,Booked,Aladdin
TRD0000016,2026-04-13,2026-04-23,SEC00166,CL244,PORT-071,23298.0,77.32,EUR,Booked,Bloomberg AIM
